target,kind,encoded_anchor_available,encoded_anchor_score,encoded_success,encoded_robust_success_rate,global_best_score,global_success_rate,searched_anchor_score,searched_success,robust_success_rate,encoded_latent_steps,searched_latent_steps,search_angle_from_global_degrees,search_angle_from_global_mean_degrees,search_angle_reference,search_angle_mean_degrees,search_angle_degrees,angular_support,coverage_type,global_best_metrics,encoded_anchor_metrics,searched_anchor_metrics
push_start_pose,static_pose,False,nan,False,nan,-0.6621781474442776,0.0,-0.5236218276538869,False,0.0,0,1,41.235435485839844,41.235435485839844,global_best,41.235435485839844,41.235435485839844,0.0,not_covered,"{""initial_pose_error"": 0.001595538662513718, ""final_pose_error"": 1.076695740222931, ""mean_pose_error"": 0.6621781474442776, ""minimum_pose_error"": 0.001595538662513718, ""pose_error_improvement"": -1.0751002015604172, ""minimum_pose_error_improvement"": 0.0, ""minimum_position_error"": 0.0012206783285364509, ""minimum_rotation_error"": 0.0007497206679545343, ""fall"": 0.0, ""unsafe"": 0.0}",{},"{""initial_pose_error"": 0.001595538662513718, ""final_pose_error"": 0.9226627945899963, ""mean_pose_error"": 0.5236218276538869, ""minimum_pose_error"": 0.001595538662513718, ""pose_error_improvement"": -0.9210672559274826, ""minimum_pose_error_improvement"": 0.0, ""minimum_position_error"": 0.0012206783285364509, ""minimum_rotation_error"": 0.0007497206679545343, ""fall"": 0.0, ""unsafe"": 0.0}"
steer_start_pose,static_pose,False,nan,False,nan,-0.3686724306955092,0.0,-0.2874021094231956,True,0.0,0,1,40.77217483520508,40.77217483520508,global_best,40.77217483520508,40.77217483520508,0.0,fragile,"{""initial_pose_error"": 0.0008380981453228742, ""final_pose_error"": 0.8485150635242462, ""mean_pose_error"": 0.3686724306955092, ""minimum_pose_error"": 0.0008380981453228742, ""pose_error_improvement"": -0.8476769653789233, ""minimum_pose_error_improvement"": 0.0, ""minimum_position_error"": 0.0006667545530945063, ""minimum_rotation_error"": 0.00034268718445673585, ""fall"": 0.0, ""unsafe"": 0.0}",{},"{""initial_pose_error"": 0.0008380981453228742, ""final_pose_error"": 0.43727999925613403, ""mean_pose_error"": 0.2874021094231956, ""minimum_pose_error"": 0.0008380981453228742, ""pose_error_improvement"": -0.43644190111081116, ""minimum_pose_error_improvement"": 0.0, ""minimum_position_error"": 0.0006667545530945063, ""minimum_rotation_error"": 0.00034268718445673585, ""fall"": 0.0, ""unsafe"": 0.0}"
human_push_1_window_00,human_push_window,False,nan,False,nan,-0.5064560570878318,0.0,-0.2358515547680144,True,0.75,0,1,40.78606033325195,40.78606033325195,global_best,40.78606033325195,40.78606033325195,1.0,locally_covered,"{""motion_error"": 0.5064560570878318, ""initial_motion_error"": 0.0, ""final_motion_error"": 0.7990634644479859, ""fall"": 0.0, ""unsafe"": 0.0}",{},"{""motion_error"": 0.2358515547680144, ""initial_motion_error"": 0.0, ""final_motion_error"": 0.3292543693055248, ""fall"": 0.0, ""unsafe"": 0.0}"
human_push_1_window_01,human_push_window,False,nan,False,nan,-0.5567364147830678,0.0,-0.47919619139056174,True,0.75,0,1,35.70349884033203,35.70349884033203,global_best,35.70349884033203,35.70349884033203,1.0,locally_covered,"{""motion_error"": 0.5567364147830678, ""initial_motion_error"": 0.0, ""final_motion_error"": 0.7517868911597353, ""fall"": 0.0, ""unsafe"": 0.0}",{},"{""motion_error"": 0.47919619139056174, ""initial_motion_error"": 0.0, ""final_motion_error"": 0.6373974966031072, ""fall"": 0.0, ""unsafe"": 0.0}"
human_push_1_window_02,human_push_window,False,nan,False,nan,-0.5262679879077833,0.0,-0.39335018070069133,True,0.85,0,1,37.51732635498047,37.51732635498047,global_best,37.51732635498047,37.51732635498047,1.0,locally_covered,"{""motion_error"": 0.5262679879077833, ""initial_motion_error"": 0.0, ""final_motion_error"": 0.7657621927103023, ""fall"": 0.0, ""unsafe"": 0.0}",{},"{""motion_error"": 0.39335018070069133, ""initial_motion_error"": 0.0, ""final_motion_error"": 0.5549122606001702, ""fall"": 0.0, ""unsafe"": 0.0}"
human_push_2_window_00,human_push_window,False,nan,False,nan,-0.5414736285203686,0.0,-0.3159678763766885,True,0.75,0,1,40.22203826904297,40.22203826904297,global_best,40.22203826904297,40.22203826904297,0.9375,locally_covered,"{""motion_error"": 0.5414736285203686, ""initial_motion_error"": 0.0, ""final_motion_error"": 0.7884328647521824, ""fall"": 0.0, ""unsafe"": 0.0}",{},"{""motion_error"": 0.3159678763766885, ""initial_motion_error"": 0.0, ""final_motion_error"": 0.4591170797346429, ""fall"": 0.0, ""unsafe"": 0.0}"
human_push_2_window_01,human_push_window,False,nan,False,nan,-0.5668128279000126,0.0,-0.4714058770948006,True,0.9,0,1,37.95269775390625,37.95269775390625,global_best,37.95269775390625,37.95269775390625,1.0,locally_covered,"{""motion_error"": 0.5668128279000126, ""initial_motion_error"": 0.0, ""final_motion_error"": 0.7632858918257637, ""fall"": 0.0, ""unsafe"": 0.0}",{},"{""motion_error"": 0.4714058770948006, ""initial_motion_error"": 0.0, ""final_motion_error"": 0.6385041033447251, ""fall"": 0.0, ""unsafe"": 0.0}"
human_push_2_window_02,human_push_window,False,nan,False,nan,-0.4750214377644223,0.0078125,-0.3019379650579546,True,0.9,0,1,40.1475944519043,40.1475944519043,global_best,40.1475944519043,40.1475944519043,1.0,locally_covered,"{""motion_error"": 0.4750214377644223, ""initial_motion_error"": 0.0, ""final_motion_error"": 0.776988097313172, ""fall"": 0.0, ""unsafe"": 0.0}",{},"{""motion_error"": 0.3019379650579546, ""initial_motion_error"": 0.0, ""final_motion_error"": 0.4247983617339904, ""fall"": 0.0, ""unsafe"": 0.0}"
